product_id;movie_id;movie_title;price;image;actors;Attribute (Name:Type:Position);Value (Value:Position);0;Kategoria;Powiązania;Kraj wydania;Reżyseria;Obsada;Polska wersja;Opis;EAN;Dział;Data premiery;Tytuł oryginalny;Kraj;Rok produkcji;Scenariusz;Kategoria wiekowa (MPAA);Czas trwania;Dodatki;Obraz;Video;Rozdzielczość;Region Blu-Ray;Opakowanie;Liczba nośników
43;499549;Avatar [DVD];9.99;http://localhost/Kino/prestashop/img/p/43/43.jpg;Sigourney Weaver,Giovanni Ribisi,Stephen Lang,CCH Pounder,Zoe Saldana,Matt Gerald,Wes Studi,Debra Wilson,Scott Lawrence,Joel David Moore,Sam Worthington,Michelle Rodriguez,Laz Alonso,Peter Mensah,Jon Curry,Terry Notary,Kelson Henderson,James Gaylyn,Eoin Bates,T.J. Storm,Jessica J. Stowes,Matthew Chamberlain,Nathan Meister,Dean Knowsley,Kai Pantano,Alicia Vela-Bailey,Dileep Rao,Sean Patrick Murphy,David Sampen,David Van Horn,Jacob Tomuri,Julene Renee,Joseph Mika-Hunt,Richard Whiteside,Kelly Kilgour,Peter Dillon,Luke Hawker,Woody Schultz,Paul Yates,Nicole Dionne,Jahnel Curfman,Ilram Choi,Sara Wilson,Jamie Harrison,Kevin Dorman,Lisa Roumain,Sean Anthony Moran,Matt Clayton,Joshua Farcone,Jodie Taylor,Tim Simpson,Jason Whyte,James Patrick Pitt,Michael Blain-Rozgay,Julene Renee-Preciado,Chris Mala,Lucy Briant,Gerry Blair,April Marie Thomas,Allan Henry,Anthony Ingruber,Stuart Pollock,Gareth Ruck,Sonia Yee,Kyla Warren,Taylor Kibby,Frankie Torres,Brandon Jelkes,Micah Moch,Christopher Nolen,Ashley Jeffery,Logan Pithyou,Tim Mansell,Wiebe Marinus,Rhian Sheehan,Ken Ohara,Jodie Landau,Julie Lamm,Cullen B. Madden,Joseph Brady Madden,Austin Wilson,Tamica Washington-Miller,Wray Wilson,Melvin Leno Clark III,Carvon Futrell,Hanniyah Muhammad,Christa Oliver,Bravita A. Threatt,Colin Bleasdale,Mike Bodnar,Hamish Denston,Mia Dodson,Raja,Nikie Zambo,Luis G. Portillo;Jakość:select:0;DVD:0;0;Przygodowe , Science Fiction , Sensacyjne , Thrillery , Akcja;PROMOCJA,                                            20 filmów po 4.99 zł,                                            Filmowa wyprzedaż już od 4,99!!!,                                            Dla Żony,                                            Dla Kobiety;;James Cameron;Sigourney Weaver, Giovanni Ribisi, Stephen Langwięcej;lektornapisy;Oczekiwany z ogromnym zainteresowaniem pierwszy od czasu "Titanica" film Jamesa Camerona. Zrealizowana z niezwykłym rozmachem - w nowej technice kina trójwymiarowego - opowieść o komandosie, który uwikłany zostaje w wojnę dwóch cywilizacji. W rolach głównych: Sigourney Weaver, Michelle Rodriguez (serial TV "Zagubieni"), Giovanni Ribisi ("Szeregowiec Ryan"), Wes Studi ("Tańczący z wilkami"), Zoe Saldana ("Terminal") i CCH Pounder ("Bagdad Café")., Bohater, który wcale nie chce nim być. Niezwykła wyprawa. Wielka przygoda. Wybór pomiędzy życiem, które zostawił a niezwykłym nowym światem, który poznaje i uczy się nazywać swoim domem. Oto AVATAR Jamesa Camerona - najwspanialszy przygodowy film wszech czasów.;5903570141492;DVD;2010-04-22;Avatar;Wielka Brytania, USA, Wielka Brytania;2009;James Cameron;PG-13;162;bezpośredni dostęp do scen;16:9, 1,78:1 anamorficzny;;;;keep case;[1xDVD]
73;5268648;Listy do M. 2 [DVD];17.79;http://localhost/Kino/prestashop/img/p/73/73.jpg;Piotr Adamczyk,Piotr Glowacki,Tomasz Karolak,Maciej Stuhr,Krzysztof Czeczot,Slawomir Holland,Roma Gasiorowska,Krzysztof Stelmaszyk,Rafal Rutkowski,Zbigniew Konopka,Marcin Perchuc,Pawel Malaszynski,Malgorzata Kozuchowska,Agnieszka Wagner,Marcin Stec,Katarzyna Zielinska,Sebastian Perdek,Mateusz Grydlik,Malgorzata Pieczynska,Katarzyna Bujakiewicz,Wojciech Malajkat,Rafal Iwaniuk,Bernardeta Komiago,Norbert Rakowski,Magdalena Lamparska,Marta Zmuda Trzebiatowska,Agnieszka Dygant,Maciej Zakoscielny,Waldemar Blaszczyk,Wojciech Zoladkowicz,Nikodem Rozbicki,Stanislaw Biczysko,Anna Matysiak,Wladyslaw Grzywna,Przemyslaw Glapinski,Jakub Jankiewicz,Jan Cieciara,Julia Wróblewska,Mateusz Bieryt,Jakub Lasota,Julia WrĂłblewska,Hacen Sahraoui,Katarzyna Chrzanowska,Dorota Wellman,Malgorzta Kowalska,Marcin Prokop,Jan Saczek,Sound'n'Grace;Jakość:select:0;DVD:0;0;Komedie (polskie) , Romantyczne , Dramaty , Komedie;Świąteczne Evergreeny,                                            Filmy polskie na DVD i Blu-ray;Polska;Maciej Dejczer;Piotr Adamczyk, Piotr Glowacki, Tomasz Karolakwięcej;polska produkcja;Cztery lata po spektakularnym sukcesie "Listów do M." bohaterowie najpopularniejszej komedii wyświetlanej w polskich kinach w ciągu ostatnich 25 lat powracają. Listy do M. 2 mają w sobie wszystko to, za co pierwszy film pokochały miliony Polaków - światowy poziom realizacyjny, przebojową ścieżkę dźwiękową, wciągającą historię, błyskotliwy humor, prawdziwe wzruszenia i jeszcze więcej gwiazd w obsadzie. Tę najbardziej romantyczną komedię 2015 roku zobaczyło w kinach blisko 3 miliony widzów. Bohaterowie komedii świątecznej produkcji TVN rozśmieszają, wzruszają i inspirują do tego by uwierzyć, że w święta wszystko jest możliwe i że to właśnie miłość jest najlepszym prezentem pod choinkę. Tomasz Karolak, Maciej Zakościelny, Roma Gąsiorowska, Maciej Stuhr, Agnieszka Dygant, Piotr Adamczyk, Magdalena Lamparska, Małgorzata Kożuchowska, Marta Żmuda Trzebiatowska, Agnieszka Wagner, Wojciech Malajkat, Katarzyna Zielińska, Marcin Perchuć, Paweł Małaszyński, Katarzyna Bujakiewicz, Nikodem Rozbicki, Ania Matysiak i Julia Wróblewska odkrywają siłę miłości, nadziei i przebaczania w najbardziej wzruszającej komedii ostatnich lat.;5902115601903;DVD;2016-04-25;Listy do M. 2;Polska;2015;Marcin Baczynski, Mariusz Kuczewski;;99;bezpośredni dostęp do scen, menu interaktywne, sceny usunięte / niewykorzystane, galeria zdjęć;16:9, 2,40:1 anamorficzny;;;;keep case;[1xDVD]
59;4587656;Pierwsza Gwiazdka (booklet) [DVD];24.99;http://localhost/Kino/prestashop/img/p/59/59.jpg;Fred Tatasciore,Kari Wahlgren,Lex Lang,Mona Marshall,Scott Menville,Michelle Ruff,Bridget Hoffman,Christopher Plummer,Ving Rhames,Grant George,Eddie Frierson,Rif Hutton,Kris Kristofferson,David Cowgill,Gregg Berger,Anthony Anderson,Phil Morris,Keegan-Michael Key,Lynnanne Zager,Roger Craig Smith,Stephen Apostolina,Kirk Baily,Jackie Gonneau,Tracy Morgan,Kristin Chenoweth,Joel McCrary,June Christopher,Oprah Winfrey,Tyler Perry,Zachary Levi,Gabriel Iglesias,Justin Shenkarow,Gina Rodriguez,Mariah Carey,Devika Parikh,Pepper Sweeney,Shane Sweet,Steven Yeun,Melissa Sturm,Kerry Gutierrez,Warren Sroka,Ashley Peldon,Kelly Clarkson,Joe Whyte,Moira Quirk,Caitlin McKenna,Juan Pacheco,Dennis Singletary,Patricia Heaton,Joseph Sanfelippo,Aidy Bryant,Jessica Pennington,Delilah,William Townsend,Joel Osteen;Jakość:select:0;DVD:0;0;Komedie , Animacja , Fantasy , Przygodowe;Świąteczne filmy dla dzieci,                                            PROMOCJA;;Timothy Reckart;Fred Tatasciore, Kari Wahlgren, Lex Langwięcej;dubbingnapisy;Mały, lecz dzielny osiołek Bo tęskni za życiem z dala od codziennej harówki w wiejskim młynie. Któregoś dnia zbiera się na odwagę i wyrywa na wolność. W podróży towarzyszy mu urocza owieczka Ruth, która przypadkowo odłączyła się od stada i wesoły gołąb Dave o wielkich aspiracjach. Razem z zabawnymi wielbłądami oraz innymi nieco ekscentrycznymi zwierzętami, Bo i jego nowi przyjaciele podążają za gwiazdą, na spotkanie przygody marzeń, by wkrótce stać się bohaterami najwspanialszej opowieści wszech czasów.Materiały dodatkowe w wersji oryginalnej:? Śpiewaj razem z Bo i przyjaciółmi? Tańcz do ?Life Is Good" A Great Big World ? Teksty piosenek, które wykonują: Mariah Carey, Fifth Harmony, A Great Big World, Kelsea Ballerini, Kirk Franklin? DeVon Franklin: ?Wiara przez cały rok";5903570161100;DVD;2018-11-07;The Star;USA;2017;Simon Moore, Carlos Kotkin, Tom Sheridan;Approved;;bezpośredni dostęp do scen, menu interaktywne;16:9, 1,85:1 anamorficzny;;;;booklet;[1xDVD]
46;11871074;Dziewczyny z Dubaju [DVD];26.45;http://localhost/Kino/prestashop/img/p/46/46.jpg;Jan Englert,Katarzyna Figura,Ryszard Chlebus,Tomasz Sobczak,Aleksandra Justa,Michal Wlodarczyk,Paulina Galazka,Józef Pawlowski,Anna Karczmarczyk,Anita Jancia,Giulio Berruti,Sebastian Konrad,Katarzyna Sawczuk,Beata Scibakówna,Grzegorz Ciagardlak,Olga Kalicka,Joanna Bogacka,Jacek Grygorowicz,Gabriel Piotrowski,Michal Kasprzak,Dorota Rabczewska,Dominic Chambers,Sebastian Skalski,Olga Rayska,Agata Nizinska,Dominika Skoczylas,Michal Wolny,Hanna Koczewska,Kinga Jasik,Michal Piróg,Maria Sadowska,Waleria Gorobets,Iacopo Ricciotti,Andrea Preti,Tamer Karabay,Luca Molinari,Antonina Jarnuszkiewicz,Sylwia Sokolowska,Katarzyna Szklarczyk,Anna Wojdas,Katarzyna Pospiech,Adrian Labnowski,Marcela Leszczak,Kornelia Strzelecka,Adrianna Sledz,Philippe Barbieri,Alicja Blicharz,Sandra Rozwandowicz,Weronika Dzierzynska,Mostafa Medhat,Magdalena Brocki,Iga Kozinska,Sandra Dorsz,Marek Walczyk,Thomas Mora,Agnieszka Wasilewska,Didier Azede,Mark Tysper,Oliwia Buczkowska,Rania Aleksandra Al Nashif,Aniela Bogusz,Paulina Pastuszczak,Dominik Sucharski,Magdalena Lubacz,Laura Bulkin,Katarzyna Witt,Pawel Parszczewski,Wojciech Garwolinski,Wiktoria Jasinska,Lulu Malina,Laure Dabo,Tomasz Krasinski,Magdalena Klarowicz,Joanna Mateja,Kamil Dajtrowski,Lukasz Wala,Zaneta Swiezy,Patryk Balcerzak,Szymon Razowski,Radoslaw Krawczyk,Marzena Jakubiec,Mateusz Hulboj,Karolina Ledwon,Tomasz Zbijowski;Jakość:select:0;DVD:0;0;Dramaty;PROMOCJA;Polska;Maria Sadowska;Jan Englert, Katarzyna Figura, Ryszard Chlebuswięcej;polska produkcja;WIELKI PRZEBÓJ KINOWY, KTÓRY OBEJRZAŁO PONAD MILION WIDZÓW W POLSCE!Film petarda, który odsłania hipokryzję polskiego show-biznesu i ujawnią całą prawdę na temat "afery dubajskiej", w którą zamieszane były celebrytki, modelki, jak i znane postaci ze świata polityki, sportu czy biznesu.Emi to młoda ambitna dziewczyna, która od lat marzy o wielkim świecie. Gdy tylko nadarza się okazja, bez wahania wskakuje w jego tryby, stając się ekskluzywną damą do towarzystwa. Wkrótce to ona na zaproszenie arabskich szejków zaczyna werbować polskie miss, celebrytki, gwiazdy ekranu i modelki. Jednak ten niedostępny, opływający w luksusy świat już niedługo pokaże swoją mroczną stronę?;5906190327635;DVD;2022-03-25;Dziewczyny z Dubaju;Polska;2021;Mitja Okorn, Peter Pasyk, Agnieszka Olejnik, Piotr Krysiak, Dimitrij Potochnik, Lucas Coleman, Piotr Stanislaw, Kornelia Strzelecka, Max Turell, Markus Moretti, Jan Belcl;M;139;bezpośredni dostęp do scen, menu interaktywne;16:9;;;;keep case;[1xDVD]
53;2709692;Grinch [DVD];26.66;http://localhost/Kino/prestashop/img/p/53/53.jpg;Tara Strong,Jess Harnell,Carlos Alazraqui,Laraine Newman,Danny Mann,Mindy Sterling,John Kassir,Bill Farmer,Angela Lansbury,Benedict Cumberbatch,Jim Ward,John DeMita,Cathy Cavadini,Lori Alan,Barbara Harris,Townsend Coleman,Rashida Jones,Brian T. Delaney,Joel Swetow,Kenan Thompson,Pharrell Williams,Jeremy Maxwell,Carter Hastings,Aaron Fors,Michael Beattie,Doug Burch,Scott Mosier,Regina Taufen,Willow Geer,Evan Kishiyama,Ramone Hamilton,Sam Lavagnino,Scarlett Estevez,Alex Puccinelli,Georgia Toffolo,Abby Craden,Cameron Seely,Meilee Condron,Tucker Chandler,Emma Elizabeth Shannon,Tristan O'Hare,Dashiell Priestley;Jakość:select:0;DVD:0;0;Dla dzieci , Animacja , Musicale , Komedie , Fantasy;Świąteczne filmy dla dzieci;Polska;Scott Mosier, Yarrow Cheney;Tara Strong, Jess Harnell, Carlos Alazraquiwięcej;dubbingnapisy;Illumination i Universal Pictures przedstawiają film "Grinch", oparty na klasycznej opowieści Dr. Seussa. To historia cynicznego tetryka, który postanawia ukraść Boże Narodzenie, ale pod wpływem małej dziewczynki ulega cudownej metamorfozie. Zabawny, ciepły i porywający "Grinch" oferuje zabawę dla całej rodziny!;5902115612930;DVD;;The Grinch;Chiny, Francja, USA, Japonia;2018;Dr. Seuss, Tommy Swerdlow, Michael LeSieur;TV-PG;82;bezpośredni dostęp do scen, menu interaktywne;2,39:1 anamorficzny, 16:9;;;;keep case;[1xDVD]
56;107688;Miasteczko Halloween [DVD];27.99;http://localhost/Kino/prestashop/img/p/56/56.jpg;Danny Elfman,Catherine O'Hara,Paul Reubens,John Morris,Chris Sarandon,Judi M. Durand,William Hickey,Glenn Shadix,Daamen J. Krall,Greg Proops,Bobbi Page,David McCharen,Randy Crenshaw,Joe Ranft,David Randolph,Billie Hayes,Carmen Twillie,Gary Schwartz,Doris Hess,L. Peter Callender,Ken Page,Susan McBride,Edward Ivory,Sherwood Ball,Christina MacGregor,Debi Durst,Kerry Katz,Glenn Walters,Mia Brown,Ann Fraser,Jennifer Levey,Jesse McClurg,Robert Olague,Elena Praskin,Trampas Warman,Gary Raff;Jakość:select:0;DVD:0;0;Horrory , Fantasy;Disney DVD i Blu-ray,                                            Świąteczne filmy dla dzieci;Polska;Henry Selick;Danny Elfman, Catherine O'Hara, Paul Reubenswięcej;dubbingnapisy;Cyfrowo odnowiona i zremasterowana przy użyciu najnowocześniejszych technologii wersja „Miasteczka Halloween” to zachwycająca uczta dla oczu i uszu wszystkich miłośników Tima Burtona i jego mrocznej wyobraźni. Król Miasteczka Halloween, Jack Skellington, znudzony codziennym straszeniem trafia przypadkiem do Miasteczka Bożego Narodzenia i dla odmiany postanawia zająć się szerzeniem wesołego nastroju świąt. W wyniku jego radosnej misji Święty Mikołaj znajdzie się w niebezpieczeństwie, a same święta dla wszystkich dzieci zamienią się w koszmar! Poddaj się magii wyjątkowej muzyki skomponowanej przez Danny’ego Elfmana i zobacz, jak fantastyczne postacie stworzone przez Tima Burtona i Henry’ego Selicka ożywają na ekranie dzięki wysokiej jakości obrazu i dźwięku Blu-ray. „Miasteczko Halloween”, teraz jeszcze bardziej upiorne i wyjątkowe, to wspaniała rozrywka dla tych, którzy uwielbiają się bać!;7321917500326;DVD;2014-10-24;The Nightmare Before Christmas;USA;1993;Tim Burton, Caroline Thompson, Michael McDowell;;73;bezpośredni dostęp do scen, komentarz audio producenta Tima Burtona, reżysera Henry'ego Selicka oraz twórcy muzyki Danny'ego Elfmana, "Co to jest?" - Jack oprowadza po nawiedzonym domu, Christopher Lee czyta wiersz tima Burtona, Jak powstał film (dodatki dostępne z polskimi napisami);16:9, 1,66:1 anamorficzny;;;;keep case;[1xDVD]
34;13162484;Listy do M. 4 [DVD];33.99;http://localhost/Kino/prestashop/img/p/34/34.jpg;Janusz Chabior,Borys Szyc,Cezary Pazura,Robert Wabich,Piotr Adamczyk,Danuta Stenka,Eryk Lubos,Tomasz Karolak,Izabela Kuna,Pawel Burczyk,Magdalena Smalara,Stanislaw Brudny,Cezary Kosinski,Magdalena Rózczka,Rafal Zawierucha,Magdalena Boczarska,Mariusz Slupinski,Anna Smolowik,Joanna Kurowska,Kinga Ciesielska,Robert Mazurkiewicz,Tomira Kowalik,Bartlomiej Nowosielski,Wojciech Malajkat,Monika Pikula,Aleksander Janiszewski,Klaudiusz Kaufmann,Agnieszka Dygant,Piotr Lukaszczyk,Krzysztof Ogonek,Pawel Okonski,Ewa Zlotowska,Irena Melcer,Robert Talarczyk,Barbara Wrzesinska,Weronika Asinska,Marcin Gawel,Grzegorz Palkowski,Michal Zielinski,Maria Kania,Andrzej Oksza-Lapicki,Kaja Walden,Weronika Wachowska,Vanessa Aleksander,Mateusz Winek,Dominika Buczek,Joanna Gryga,Halina Jablonowska,Marcin Bubólka,Rozalia Mierzicka,Wojciech Wilinski,Andrzej Bychowski,Marta Dutkiewicz,Piotr Gawron-Jedlikowski,Damian Sosnowski,Tomasz Taranta,Barbara Kobrzynska,Barbara Mioduszewska,Joanna Pocica,Bruno Tomczyk,Aleksandra Zagrodzka,Sylwia Achu,Julia Chetnicka,Anna Maria Guzik,Paulina Kondrak,Oliwia Tarachimowicz,Matylda Radosz,Klaudia Koscista,Jakub Malesa,Ignacy Majewski,Dorota Ruskowska,Jakub Strach,Helena Urbanska;Jakość:select:0;DVD:0;0;Komedie (polskie) , Komedie;Filmy polskie na DVD i Blu-ray,                                            Polskie produkcje - Nowości,                                             Świąteczne Evergreeny;Polska;Patrick Yoka;Janusz Chabior, Borys Szyc, Cezary Pazurawięcej;polska produkcja;"Listy do M. 4" to nowa odsłona serii, której pierwsze trzy części przyciągnęły do kin blisko 9 milionów widzów. Uwielbiani bohaterowie wracają. Ich losy znów splotą się w przeddzień Bożego Narodzenia, a nowe postaci wywrócą ich życie do góry nogami.Gdy zbliża się Wigilia, wszystko może się zdarzyć! Nieoczekiwane zauroczenie, przerwane zaręczyny czy nieplanowane spotkanie sprawią, że bohaterowie na nowo będą musieli zdefiniować, czym jest dla nich "miłość do bliźniego". Świat Mela, Szczepana, Kariny i Wojciecha znów stanie na głowie? Między Karolinę i Filipa wkroczy nowa kobieta, a o Rudolfa upomni się przeszłość. W tym czasie nawet nieśmiały introwertyk wyjdzie z domu, a zbuntowany pechowiec okaże się muzycznym diamentem. Święta to magia, wystarczy dać jej szansę!;5906190327284;DVD;2021-10-25;Listy do M. 4;Polska;2021;Marcin Baczynski, Mariusz Kuczewski;PG-13;111;bezpośredni dostęp do scen, menu interaktywne;2,39:1 anamorficzny, 16:9;;;;keep case;[1xDVD]
47;499549;Avatar [Blu-Ray];34.6;http://localhost/Kino/prestashop/img/p/47/47.jpg;Sigourney Weaver,Giovanni Ribisi,Stephen Lang,CCH Pounder,Zoe Saldana,Matt Gerald,Wes Studi,Debra Wilson,Scott Lawrence,Joel David Moore,Sam Worthington,Michelle Rodriguez,Laz Alonso,Peter Mensah,Jon Curry,Sean Moran,Terry Notary,Kelson Henderson,James Gaylyn,Eoin Bates,T.J. Storm,Jessica J. Stowes,Matthew Chamberlain,Joel Moore,Dean Knowsley,Nathan Meister,Kai Pantano,Alicia Vela-Bailey,Sean Patrick Murphy,Noli McCool,Dileep Rao,David Sampen,Jacob Tomuri,David Van Horn,Julene Renee,Joseph Mika-Hunt,Richard Whiteside,Peter Dillon,Luke Hawker,Woody Schultz,Kelly Kilgour,Paul Yates,Nicole Dionne,Jahnel Curfman,Ilram Choi,Sara Wilson,Jamie Harrison,Kevin Dorman,Grant Roa,Lisa Roumain,Sean Anthony Moran,Amy Clover,Matt Clayton,Joshua Farcone,Jodie Taylor,Tim Simpson,Jason Whyte,James Patrick Pitt,Michael Blain-Rozgay,Julene Renee-Preciado,Camille Keenan,Chris Mala,Lucy Briant,Gerry Blair,April Marie Thomas,Allan Henry,Anthony Ingruber,Stuart Pollock,Gareth Ruck,Logan Pithyou,James Pitt,Sonia Yee,Kyla Warren,Taylor Kibby,Frankie Torres,Brandon Jelkes,Micah Moch,Christopher Nolen,Ashley Jeffery,Tim Mansell,Wiebe Marinus,Rhian Sheehan,Ken Ohara,Nick Miller,Andrew Emilio DeCesare,Jodie Landau,Julie Lamm,Cullen B. Madden,Joseph Brady Madden,Austin Wilson,Tamica Washington-Miller,Wray Wilson,Melvin Leno Clark III,Carvon Futrell,Hanniyah Muhammad,Christa Oliver,Bravita A. Threatt,Colin Bleasdale,Mike Bodnar,Hamish Denston,Mia Dodson,Raja,Nikie Zambo,Luis G. Portillo;Jakość:select:0;BLU-RAY:0;24.61;Przygodowe , Science Fiction , Akcja;XMAS,                                            XMAS fabuła;Polska;James Cameron;Sigourney Weaver, Giovanni Ribisi, Stephen Langwięcej;lektornapisy;Oczekiwany z ogromnym zainteresowaniem pierwszy od czasu "Titanica" film Jamesa Camerona. Zrealizowana z niezwykłym rozmachem - w nowej technice kina trójwymiarowego - opowieść o komandosie, który uwikłany zostaje w wojnę dwóch pozaziemskich cywilizacji. W rolach głównych: Sigourney Weaver, Michelle Rodriguez (serial TV "Zagubieni"), Giovanni Ribisi ("Szeregowiec Ryan"), Wes Studi ("Tańczący z wilkami"), Zoe Saldana ("Terminal") i CCH Pounder ("Bagdad Café")., Bohater, który wcale nie chce nim być. Niezwykła wyprawa. Wielka przygoda. Wybór pomiędzy życiem, które zostawił a niezwykłym nowym światem, który poznaje i uczy się nazywać swoim domem. Oto AVATAR Jamesa Camerona - najwspanialszy przygodowy film wszech czasów.;7321941508640;BLU-RAY;2021-04-28;Avatar;USA, Wielka Brytania;2009;James Cameron;TV-14, PG-13;162;bezpośredni dostęp do scen;16:9, 1,78:1 anamorficzny;;1080p;B, C;blu-ray case;[1xBLU-RAY]
48;2382320;007 James Bond Nie czas umierać [DVD];35.2;http://localhost/Kino/prestashop/img/p/48/48.jpg;Tina Simmons,Ty Hurley,Ralph Fiennes,Daniel Craig,Clem So,Jeffrey Wright,Ben Whishaw,Rory Kinnear,David Dencik,Christoph Waltz,John Farrer,Denis Khoroshko,Rami Malek,Naomie Harris,Billy Magnussen,David Olawale Ayinde,Priyanga Burford,Léa Seydoux,Joakim Skarli,Andrew G. Ogleby,Hugh Dennis,Gordon Alexander,Javone Prince,Winston Ellis,Paul O'Kelly,Douglas Bunn,Obie Matthew,Raymond Waring,Omar Alboukharey,Lampros Kalfuntzos,Rodrig Andrisan,Philip Philmar,Lourdes Faberes,Ana de Armas,Andy Cheung,Lashana Lynch,Rod Hunt,Tuncay Gunes,Steve Barnett,Andrew Reed,Brigitte Millar,Julian Ferro,Mark Gooden,Rae Lim,Andrei Nova,Amy Morgan,Iulia Filipovscaia,Ross Donnelly,Joe Grossi,Tim Wildman,Eliot Sumner,Amor Evans,Davina Moon,Gediminas Adomaitis,Ernest Gromov,Pio Amato,Lizzie Winkler,Mariia Legun,Michael Mercer,Michael Herne,Ahmed Bakare,Zoltan Rencsar,Dali Benssalah,Adnan Rashed,Hayden Phillips,Chi Chan,Lisa-Dorah Sonnet,Coline Defaud,Mathilde Bourbin,Nicola Olivieri,Mattia Lacovone,Giansalvatore Duca,Toby Sauerback,Callan Taverner,Yasmin Bird,Ali El Khodary,Michael Andrew Ajazi,Gemmar Mcfarlane,Leighton Laing,Kimo Armstrong;Jakość:select:0;DVD:0;0;Akcja , Thrillery , Przygodowe , Sensacyjne;007 James Bond,                                            007 James Bond Nie czas umierać;Polska;Cary Joji Fukunaga;Tina Simmons, Ty Hurley, Ralph Fienneswięcej;lektornapisy;James Bond opuszcza czynną służbę i cieszy się spokojnym życiem na Jamajce. Tymczasem jednak jego stary przyjaciel Felix Leiter z CIA zwraca się do niego o pomoc. Misja uratowania porwanego naukowca okazuje się o wiele bardziej zdradliwa, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego złoczyńcy, dysponującego nową, niezwykle niebezpieczną technologią.;7321960601018;DVD;2022-03-09;No Time to Die;Wielka Brytania, USA;2021, 2020;Ian Fleming, Phoebe Waller-Bridge, Neal Purvis, Robert Wade, Scott Z. Burns, Cary Joji Fukunaga;PG-13;157;bezpośredni dostęp do scen, menu interaktywne;16:9;;;;keep case;[1xDVD]
54;99487;Edward Nożycoręki [Blu-Ray];35.71;http://localhost/Kino/prestashop/img/p/54/54.jpg;Johnny Depp,Vincent Price,Marc Macaulay,Caroline Aaron,Brett Rice,Alan Arkin,Alan Fudge,Winona Ryder,Aaron Lustig,Biff Yeager,Kathy Baker,Anthony Michael Hall,Dianne Wiest,Susan Blommaert,Michael Brown,John Davidson,Conchata Ferrell,Donna Pieroni,O-Lan Jones,Steven Brill,Dick Anthony Williams,Bryan Larkin,John McMahon,Stuart Lancaster,Andrew B. Clark,Linda Perri,Peter Palmer,Gary Clark,Robert Oliveri,Gina Gallagher,Victoria Price,Carmen J. Alexander,Michael Gaughan,Sherry Ferguson,Tabetha Thomas,Tammy Boalo,Kathy Lockwood,Harvey Bellman,Bill Klein,James Spicer,Marti Greenberg,Kelli Crofton,Linda Jean Hess,Rosalyn Thomson,Lee Ralls,Eileen Meurer,Bea Albano,Ken DeVaul,Tricia Lloyd,Kathy Dombo,Rex Fox,Jackie Carson,Carol Crumrine,Suzanne Chrosniak,Ellin Dennis,Jalaine Gallion,Miriam Goodspeed,Dianne L. Green,Mary Jane Heath,Carol D. Klasek,Laura Nader,Doyle Anderson,Roland Douville,Russell E. Green,Cecil Hawkins,Jack W. Kapfhamer,Phil Olson,Joe Sheldon;Jakość:select:0;BLU-RAY:0;0;Dramaty , Fantasy;Hit dnia;Hiszpania;Tim Burton;Johnny Depp, Vincent Price, Marc Macaulaywięcej;lektornapisy;;8420266001672;BLU-RAY;;Edward Scissorhands;USA;1990;Tim Burton, Caroline Thompson;TV-PG;;bezpośredni dostęp do scen, menu interaktywne;16:9;;1080p;A, B, C;blu-ray case;[1xBLU-RAY]
