Category ID;Active (0/1);Name *;Parent category
10;1;Filmy DVD
11;1;DLA DZIECI;Filmy DVD
12;1;KOMEDIE;Filmy DVD
13;1;DRAMATY;Filmy DVD
14;1;SCIENCE FICTION;Filmy DVD
15;1;THRILLERY;Filmy DVD
16;1;AKCJA;Filmy DVD
17;1;SENSACYJNE;Filmy DVD
18;1;MUSICALE;Filmy DVD
19;1;MUZYCZNE;Filmy DVD
20;1;MŁODZIEŻOWE;Filmy DVD
21;1;OBYCZAJOWE;Filmy DVD
22;1;POZOSTAŁE;Filmy DVD
23;1;PRZYGODOWE;Filmy DVD
24;1;SERIALE POLSKIE;Filmy DVD
25;1;ROMANTYCZNE;Filmy DVD
26;1;KURSY, ĆWICZENIA;Filmy DVD
27;1;SERIALE ZAGRANICZNE;Filmy DVD
28;1;SPORTOWE;Filmy DVD
29;1;TAJEMNICZE;Filmy DVD
30;1;TEATR;Filmy DVD
31;1;WESTERNY;Filmy DVD
32;1;WOJENNE;Filmy DVD
33;1;LGBT;Filmy DVD
34;1;KOSTIUMOWE;Filmy DVD
35;1;KRÓTKOMETRAŻOWE;Filmy DVD
36;1;HISTORYCZNE;Filmy DVD
37;1;ANIME;Filmy DVD
38;1;BIOGRAFICZNE;Filmy DVD
39;1;BOLLYWOOD;Filmy DVD
40;1;DOKUMENTALNE;Filmy DVD
41;1;DRAMATY (POLSKIE);Filmy DVD
42;1;EROTYCZNE;Filmy DVD
43;1;FANTASY;Filmy DVD
44;1;FITNESS;Filmy DVD
45;1;HORRORY;Filmy DVD
46;1;KRYMINAŁY;Filmy DVD
47;1;INDIE I ARTHOUSE;Filmy DVD
48;1;INTERAKTYWNE;Filmy DVD
49;1;KABARETY;Filmy DVD
50;1;KINO RODZINNE;Filmy DVD
51;1;KINO ŚWIATOWE;Filmy DVD
52;1;KOMEDIE (POLSKIE);Filmy DVD
53;1;KONCERTY, TELEDYSKI;Filmy DVD
54;1;ANIMACJA;Filmy DVD
55;1;WYDANIA KOLEKCJONERSKIE;Filmy DVD
